Sector,Stage,Amount($),HeadQuarter,Founded,isSuccessFull
"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,2016,0
"Agriculture, Farming",Seed,4800000.0,Mumbai,2016,0
"Credit, Financial Services, Lending, Marketplace",Series A,7800000.0,Gurgaon,2016,0
"Financial Services, FinTech",Angel,2000000.0,Noida,2016,0
"E-Commerce Platforms, Retail, SaaS",Seed,125171163.09181623,Hyderabad,2016,0
"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bengaluru,2016,0
"Internet, Leisure, Marketplace",Seed,1920000.0,Kalkaji,2016,0
Market Research,Angel,6000000.0,Hyderabad,2016,0
"Information Services, Information Technology",Seed,125171163.09181623,Mumbai,2016,0
Mobile Payments,Seed,125171163.09181623,Bangalore,2016,0
"B2B, Shoes",Seed,125171163.09181623,Delhi,2016,0
Internet,Seed,125171163.09181623,Bengaluru,2016,0
"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,125171163.09181623,India,2016,0
Food Delivery,Seed,125171163.09181623,Hubli,2016,0
Industrial Automation,Seed,125171163.09181623,Bangalore,2016,0
"Automotive, Search Engine, Service Industry",Seed,12000000.0,Bengaluru,2016,0
"Finance, Internet, Travel",Seed,150000.0,Mumbai,2016,0
"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,Bengaluru,2016,0
"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,125171163.09181623,New Delhi,2016,0
"Internet of Things, Waste Management",Seed,60000.0,Chennai,2016,0
"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,2016,0
Financial Services,Seed,650000.0,Mumbai,2016,0
Food and Beverage,Seed,4200000.0,New Delhi,2016,0
Autonomous Vehicles,Seed,7680000.0,Delhi,2016,0
"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,125171163.09181623,Bengaluru,2016,0
"Agriculture, Analytics, Big Data, Farming",Series A,125171163.09181623,Mohali,2016,0
"Logistics, Supply Chain Management",Seed,2000000.0,Chennai,2016,0
"Financial Services, Lending",Seed,2000000.0,Mumbai,2016,0
"Automotive, Marketplace, Online Portals",Seed,2000000.0,Mumbai,2016,0
Artificial Intelligence,Angel,125171163.09181623,Hyderabad,2016,0
"Internet of Things, Telecommunications",Seed,2400000.0,New Delhi,2016,0
Insurance,Seed,1000000.0,Kolkata,2016,0
Financial Services,Seed,125171163.09181623,Bangalore,2016,0
"Information Technology, Logistics, Supply Chain Management",Seed,650000.0,Bengaluru,2016,0
"Blockchain, Developer Tools, Enterprise Software",Seed,1000000.0,Mumbai,2016,0
"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,Bengaluru,2016,0
"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,Mumbai,2016,0
Education,Seed,3600000.0,New Delhi,2016,0
"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,Mumbai,2016,0
Financial Services,Seed,2800000.0,Chennai,2016,0
Renewable Energy,Seed,125171163.09181623,New Delhi,2016,0
"E-Learning, Education",Seed,150000.0,Hyderabad,2016,0
"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,4800000.0,India,2016,0
"E-Commerce, Fashion, Mobile",Seed,1000000.0,Mumbai,2016,0
"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,New Delhi,2016,0
Transportation,Seed,125171163.09181623,New Delhi,2016,0
"Financial Services, Lending",Seed,1300000.0,Bangalore,2016,0
"Fitness, Health Care, Wellness",Seed,2000000.0,Mumbai,2016,0
"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,125171163.09181623,Pune,2016,0
Hospitality,Seed,600000.0,Jodhpur,2016,0
"Food and Beverage, Tea",Seed,2400000.0,Chennai,2016,0
"Media and Entertainment, News, Outdoors",Seed,4800000.0,Kanpur,2016,0
"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,2400000.0,Bengaluru,2016,0
"B2B, Information Services, Information Technology",Angel,1000000.0,Hyderabad,2016,0
"EdTech, Education, Enterprise Software, Peer to Peer",Seed,1500000.0,New Delhi,2016,0
"Health Care, Medical",Seed,1800000.0,Kolkata,2016,0
E-Commerce,Seed,500000.0,Mumbai,2016,0
"Health Care, Hospital, Wellness",Series A,5000000.0,New Delhi,2016,0
—,Seed,12480000.0,Mumbai,2016,0
Sports,Seed,5400000.0,India,2016,0
"Big Data, Consumer Lending, FinTech",Series A,13400000.0,Bangalore,2016,0
"Cloud Computing, Computer, Semiconductor",Seed,125171163.09181623,Bengaluru,2016,0
"Health Care, Medical, Pharmaceutical",Seed,500000.0,Hyderabad,2016,0
"Food Processing, Retail",Angel,125171163.09181623,New Delhi,2016,0
Trading Platform,Seed,3000000.0,Bangalore,2016,0
"Consumer Goods, Lifestyle, Men's",Series A,125171163.09181623,New Delhi,2016,0
Wellness,Seed,3168000.0,Pune,2016,0
Education,Seed,125171163.09181623,New Delhi,2016,0
"Food and Beverage, Food Processing, Nutrition",Seed,125171163.09181623,Bangalore,2016,0
Fashion,Seed,960000.0,Ahmedabad,2016,0
"Automotive, Electric Vehicle, Energy Storage",Series A,7200.0,Bangalore,2016,0
"Consulting, Retail, Social",Series A,4000000.0,Chennai,2016,0
"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,Bangalore,2016,0
Health Care,Seed,125171163.09181623,Mumbai,2016,0
"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,New Delhi,2016,0
Internet,Seed,20000.0,Hyderabad,2016,0
"Communities, Coworking, Incubators",Angel,125171163.09181623,Gurgaon,2016,0
"Consumer, Financial Services, FinTech",Seed,1000000.0,Bangalore,2016,0
"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,125171163.09181623,Azadpur,2016,0
"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,Bangalore,2016,0
"Education, Financial Services, FinTech",Seed,250000.0,Bengaluru,2016,0
"Advertising, Consulting, Digital Marketing",Series A,125171163.09181623,Mumbai,2016,0
"Marketplace, Real Estate, Rental Property",Seed,120000.0,New Delhi,2016,0
Health Care,Seed,4080000.0,Gurgaon,2016,0
"E-Learning, Internet, Video Games",Angel,125171163.09181623,Haryana,2016,0
"Artificial Intelligence, Cloud Computing, Video",Seed,41040000.0,Bangalore,2016,0
"Health Care, Information Technology",Seed,143145.0,Pune,2016,0
Aerospace,Seed,125171163.09181623,Bangalore,2016,0
"E-Commerce, Fashion, Lifestyle",Series B,72000000.0,Noida,2016,0
"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,125171163.09181623,Cochin,2016,0
Insurance,Private Equity,742000000.0,Mumbai,2016,0
E-Commerce,Private Equity,120000000.0,Faridabad,2016,0
"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,240000000.0,Bengaluru,2016,0
"EdTech, Education, Information Services, SaaS",Series B,3980000.0,New Delhi,2016,0
"Energy, Solar",Series Unknown,240000000.0,Jaipur,2016,0
"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000.0,Gurgaon,2016,0
"Artificial Intelligence, Social",Seed,125171163.09181623,Bangalore,2016,0
"Logistics, Transportation, Travel",Series B,120000000.0,Bangalore,2016,0
"Digital Marketing, SEM, SEO, Web Development",Angel,12000.0,Kota,2016,0
"Health Care, Hospital, Medical",Debt Financing,30000000.0,Bangalore,2016,0
"Finance, Financial Services",Post-IPO Debt,240000000.0,Jaipur,2016,0
"Food Delivery, Food Processing, Internet",Series H,1000000000.0,Bangalore,2016,0
"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,Haryana,2016,0
"Fitness, Food and Beverage, Health Care, Nutrition",Angel,125171163.09181623,Anand,2016,0
"EdTech, Education, Knowledge Management",Series C,35000000.0,Mumbai,2016,0
—,Debt Financing,66000000.0,Kolkata,2016,0
Financial Services,Series Unknown,28500000.0,Chennai,2016,0
"Apps, Beauty, Consumer, Retail",Seed,3600000.0,New Delhi,2016,0
"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,Mumbai,2016,0
"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,28800000.0,Gurgaon,2016,0
"E-Learning, Education, Higher Education",Seed,125171163.09181623,Gurgaon,2016,0
"Health Care, Medical, Pharmaceutical",Series A,125171163.09181623,Mumbai,2016,0
Health Diagnostics,Seed,125171163.09181623,Chennai,2016,0
